text,label,sentiment,word_count,avg_word_length,original_label,split,text_original,text_clean,token_count,text_length_clean,word_count_clean,avg_word_length_clean
alyssadiaz lol i dont update the site too i get bored haha,1,positive,12,4.833333333333333,4,train,alyssadiaz lol i dont update the site too i get bored haha,alyssadiaz lol i dont update the site too i get bored haha,12,58,12,3.9166666666666665
claresmith pm classes so the proximity might not as be as handy,0,negative,12,5.25,0,train,claresmith pm classes so the proximity might not as be as handy,claresmith pm classes so the proximity might not as be as handy,12,63,12,4.333333333333333
rickyxbobby u should be in fla this weekend,1,positive,8,5.375,4,train,rickyxbobby u should be in fla this weekend,rickyxbobby u should be in fla this weekend,8,43,8,4.5
quotyou can now purchase the ftsk whoa oh me vs everyone feat selena gomez on itunes,1,positive,16,5.25,4,train,quotyou can now purchase the ftsk whoa oh me vs everyone feat selena gomez on itunes,quotyou can now purchase the ftsk whoa oh me vs everyone feat selena gomez on itunes,16,84,16,4.3125
newsinglemama patience sleep enjoy sleeping treasure it write about it so youll remember it enjoy silence hell be here soon,1,positive,20,6.15,4,train,newsinglemama patience sleep enjoy sleeping treasure it write about it so youll remember it enjoy silence hell be here soon,newsinglemama patience sleep enjoy sleeping treasure it write about it so youll remember it enjoy silence hell be here soon,20,123,20,5.2
i love hanging out with my best friend,1,positive,8,4.75,4,train,i love hanging out with my best friend,i love hanging out with my best friend,8,38,8,3.875
daniel what do you mean quickpwn tomorrow whatever lol and how come i cant update my stupid phone,0,negative,18,5.388888888888889,0,train,daniel what do you mean quickpwn tomorrow whatever lol and how come i cant update my stupid phone,daniel what do you mean quickpwn tomorrow whatever lol and how come i cant update my stupid phone,18,97,18,4.444444444444445
really wants an imac,0,negative,4,5.0,0,train,really wants an imac,really wants an imac,4,20,4,4.25
amymengcn so youre just undernourished yay you,1,positive,7,6.571428571428571,4,train,amymengcn so youre just undernourished yay you,amymengcn so youre just undernourished yay you,7,46,7,5.714285714285714
is feeling a little sorry for nsw right now poor hayne my feet are also wet,0,negative,16,4.6875,0,train,is feeling a little sorry for nsw right now poor hayne my feet are also wet,is feeling a little sorry for nsw right now poor hayne my feet are also wet,16,75,16,3.75
oh im so excited because im going this year to spain barcelona its my favorite place in the whole world x,1,positive,21,5.0,4,train,oh im so excited because im going this year to spain barcelona its my favorite place in the whole world x,oh im so excited because im going this year to spain barcelona its my favorite place in the whole world x,21,105,21,4.0476190476190474
indian govt orgs are totally unpredictablewen all set to go de rspnded to our query after mnthsnw need to review its comments,0,negative,22,5.681818181818182,0,train,indian govt orgs are totally unpredictablewen all set to go de rspnded to our query after mnthsnw need to review its comments,indian govt orgs are totally unpredictablewen all set to go de rspnded to our query after mnthsnw need to review its comments,22,125,22,4.7272727272727275
mollyyyyyyyyy ill save you one,1,positive,5,6.0,4,train,mollyyyyyyyyy ill save you one,mollyyyyyyyyy ill save you one,5,30,5,5.2
gaybenz thank you,1,positive,3,5.666666666666667,4,train,gaybenz thank you,gaybenz thank you,3,17,3,5.0
allysonalfonso hahah lucky i have to wait days poop lol where abouts in the gold coast are you if u dnt mind me asking,1,positive,24,4.916666666666667,4,train,allysonalfonso hahah lucky i have to wait days poop lol where abouts in the gold coast are you if u dnt mind me asking,allysonalfonso hahah lucky i have to wait days poop lol where abouts in the gold coast are you if u dnt mind me asking,24,118,24,3.9583333333333335
alicekeenan sorayama rocks the bells i have all of his art books except for the ones i dont have,0,negative,19,5.052631578947368,0,train,alicekeenan sorayama rocks the bells i have all of his art books except for the ones i dont have,alicekeenan sorayama rocks the bells i have all of his art books except for the ones i dont have,19,96,19,4.105263157894737
awww vodafone dont be like that i need you to work on the laptop so i can still browse fast while the landline is cappeddont die,0,negative,26,4.923076923076923,0,train,awww vodafone dont be like that i need you to work on the laptop so i can still browse fast while the landline is cappeddont die,awww vodafone dont be like that i need you to work on the laptop so i can still browse fast while the landline is cappeddont die,26,128,26,3.9615384615384617
hericabral arghhhhhhhhh my hair its allllllllll i haaaaaaveeee hehehe,0,negative,9,7.666666666666667,0,train,hericabral arghhhhhhhhh my hair its allllllllll i haaaaaaveeee hehehe,hericabral arghhhhhhhhh my hair its allllllllll i haaaaaaveeee hehehe,9,69,9,6.777777777777778
i bet black planet lol i didnt have a problem with it but she was ugly,0,negative,16,4.375,0,train,i bet black planet lol i didnt have a problem with it but she was ugly,i bet black planet lol i didnt have a problem with it but she was ugly,16,70,16,3.4375
daily puppy pictures charlie the australian shepherdlabrador mix doesnt look real,1,positive,11,7.363636363636363,4,train,daily puppy pictures charlie the australian shepherdlabrador mix doesnt look real,daily puppy pictures charlie the australian shepherdlabrador mix doesnt look real,11,81,11,6.454545454545454
i still didnt get to see transformers thou tomorrow hopefully,0,negative,10,6.1,0,train,i still didnt get to see transformers thou tomorrow hopefully,i still didnt get to see transformers thou tomorrow hopefully,10,61,10,5.2
bout grill some steaks and hit the movies a lil later and where r these ppl hiding lolahcherry redd stlouismademe,1,positive,20,5.65,4,train,bout grill some steaks and hit the movies a lil later and where r these ppl hiding lolahcherry redd stlouismademe,bout grill some steaks and hit the movies a lil later and where r these ppl hiding lolahcherry redd stlouismademe,20,113,20,4.7
processing claimsand doing monthly reportsand am sleepy,0,negative,7,7.857142857142857,0,train,processing claimsand doing monthly reportsand am sleepy,processing claimsand doing monthly reportsand am sleepy,7,55,7,7.0
baja fresh doesnt give out chips with their burritos anymore why not i feel strangely unfulfilled,0,negative,16,6.0625,0,train,baja fresh doesnt give out chips with their burritos anymore why not i feel strangely unfulfilled,baja fresh doesnt give out chips with their burritos anymore why not i feel strangely unfulfilled,16,97,16,5.125
kbirbeck owlsdaughter hoping that the readings were fun,1,positive,8,6.875,4,train,kbirbeck owlsdaughter hoping that the readings were fun,kbirbeck owlsdaughter hoping that the readings were fun,8,55,8,6.0
seany was a nightmare getting outta that mud,1,positive,8,5.5,4,train,seany was a nightmare getting outta that mud,seany was a nightmare getting outta that mud,8,44,8,4.625
drewseeley i saw you today on the superman ha you got to budge lol ah that ride was so scary though,0,negative,21,4.714285714285714,0,train,drewseeley i saw you today on the superman ha you got to budge lol ah that ride was so scary though,drewseeley i saw you today on the superman ha you got to budge lol ah that ride was so scary though,21,99,21,3.761904761904762
is listening to kris allens heartless adam all the way though,1,positive,11,5.545454545454546,4,train,is listening to kris allens heartless adam all the way though,is listening to kris allens heartless adam all the way though,11,61,11,4.636363636363637
i wish i knew how to make my sims all custom and pretty,0,negative,13,4.230769230769231,0,train,i wish i knew how to make my sims all custom and pretty,i wish i knew how to make my sims all custom and pretty,13,55,13,3.3076923076923075
today el salvador vs mexico el saldor i love you i know you can win,1,positive,15,4.466666666666667,4,train,today el salvador vs mexico el saldor i love you i know you can win,today el salvador vs mexico el saldor i love you i know you can win,15,67,15,3.533333333333333
bllix brutal imagery and not work safe in any way i feel tortured,0,negative,13,5.0,0,train,bllix brutal imagery and not work safe in any way i feel tortured,bllix brutal imagery and not work safe in any way i feel tortured,13,65,13,4.076923076923077
going into town today might get steaming dunno last day off before full time work for and a half months,0,negative,20,5.15,0,train,going into town today might get steaming dunno last day off before full time work for and a half months,going into town today might get steaming dunno last day off before full time work for and a half months,20,103,20,4.2
i went to watch up it was almost as good as walle oo i also seem to have lost both of my converse i think they threw them out ca,0,negative,30,4.266666666666667,0,train,i went to watch up it was almost as good as walle oo i also seem to have lost both of my converse i think they threw them out ca,i went to watch up it was almost as good as walle oo i also seem to have lost both of my converse i think they threw them out ca,30,128,30,3.3
daaaaaaang missed the fireworks hearing it right now,0,negative,8,6.5,0,train,daaaaaaang missed the fireworks hearing it right now,daaaaaaang missed the fireworks hearing it right now,8,52,8,5.625
phonetrips i tried it and nothing,0,negative,6,5.5,0,train,phonetrips i tried it and nothing,phonetrips i tried it and nothing,6,33,6,4.666666666666667
thatgreengent im sorryblame my mother and the foot person,0,negative,9,6.333333333333333,0,train,thatgreengent im sorryblame my mother and the foot person,thatgreengent im sorryblame my mother and the foot person,9,57,9,5.444444444444445
elpollolocoinc can you guys open up shop in austin tx ill be your official spokeswoman,1,positive,15,5.733333333333333,4,train,elpollolocoinc can you guys open up shop in austin tx ill be your official spokeswoman,elpollolocoinc can you guys open up shop in austin tx ill be your official spokeswoman,15,86,15,4.8
mileycyrus i hope you dont think im a creep but i had a dream last night that we were best friends i wish it was true,0,negative,26,4.5,0,train,mileycyrus i hope you dont think im a creep but i had a dream last night that we were best friends i wish it was true,mileycyrus i hope you dont think im a creep but i had a dream last night that we were best friends i wish it was true,26,117,26,3.5384615384615383
bored getting used to being a twitterer,1,positive,7,5.571428571428571,4,train,bored getting used to being a twitterer,bored getting used to being a twitterer,7,39,7,4.714285714285714
jaysterx lol its pm i should be in bed got school tomorrow noooo,0,negative,13,4.923076923076923,0,train,jaysterx lol its pm i should be in bed got school tomorrow noooo,jaysterx lol its pm i should be in bed got school tomorrow noooo,13,64,13,4.0
is glad to be alive after wat happend las night,1,positive,10,4.7,4,train,is glad to be alive after wat happend las night,is glad to be alive after wat happend las night,10,47,10,3.8
i was just typing my blog then my computer restarted and theres no retrieved stuff whatesoever imma cry now joke too lazy to type,0,negative,24,5.375,0,train,i was just typing my blog then my computer restarted and theres no retrieved stuff whatesoever imma cry now joke too lazy to type,i was just typing my blog then my computer restarted and theres no retrieved stuff whatesoever imma cry now joke too lazy to type,24,129,24,4.416666666666667
zebedeejane hasnt washed away then,1,positive,5,6.8,4,train,zebedeejane hasnt washed away then,zebedeejane hasnt washed away then,5,34,5,6.0
still has laundry going but has to go to bedback to work in the morning,0,negative,15,4.733333333333333,0,train,still has laundry going but has to go to bedback to work in the morning,still has laundry going but has to go to bedback to work in the morning,15,71,15,3.8
i really miss you,0,negative,4,4.25,0,train,i really miss you,i really miss you,4,17,4,3.5
i have a headachhhe i had somemore weird dreams,0,negative,9,5.222222222222222,0,train,i have a headachhhe i had somemore weird dreams,i have a headachhhe i had somemore weird dreams,9,47,9,4.333333333333333
new fingernails words cannot express mah joy,1,positive,7,6.285714285714286,4,train,new fingernails words cannot express mah joy,new fingernails words cannot express mah joy,7,44,7,5.428571428571429
watering the plants,1,positive,3,6.333333333333333,4,train,watering the plants,watering the plants,3,19,3,5.666666666666667
seventyjane i havent put a brush next to my head for weeks now its a bad scene sorry ill fix it,0,negative,21,4.523809523809524,0,train,seventyjane i havent put a brush next to my head for weeks now its a bad scene sorry ill fix it,seventyjane i havent put a brush next to my head for weeks now its a bad scene sorry ill fix it,21,95,21,3.5714285714285716
shakehands this thursday amp friday fuck i was thinking i could stay in london for a few days amp see you amp crys but its too late now,0,negative,28,4.821428571428571,0,train,shakehands this thursday amp friday fuck i was thinking i could stay in london for a few days amp see you amp crys but its too late now,shakehands this thursday amp friday fuck i was thinking i could stay in london for a few days amp see you amp crys but its too late now,28,135,28,3.857142857142857
suegaynor thanks for following tweeterland,1,positive,5,8.4,4,train,suegaynor thanks for following tweeterland,suegaynor thanks for following tweeterland,5,42,5,7.6
fredwhy lol pretty good so far just trying to figure out all of the processes,0,negative,15,5.133333333333334,0,train,fredwhy lol pretty good so far just trying to figure out all of the processes,fredwhy lol pretty good so far just trying to figure out all of the processes,15,77,15,4.2
hawaiidawg thank u mark im going to take u up on the offer ill text u my info soon i believe caberry is set but ill confirm,1,positive,27,4.555555555555555,4,train,hawaiidawg thank u mark im going to take u up on the offer ill text u my info soon i believe caberry is set but ill confirm,hawaiidawg thank u mark im going to take u up on the offer ill text u my info soon i believe caberry is set but ill confirm,27,123,27,3.5925925925925926
is having a bbq with the familyyy xx,1,positive,8,4.5,4,train,is having a bbq with the familyyy xx,is having a bbq with the familyyy xx,8,36,8,3.625
omg the weather is actually nice england has out done itself unfortunately if no english weather this wont last x,0,negative,20,5.65,0,train,omg the weather is actually nice england has out done itself unfortunately if no english weather this wont last x,omg the weather is actually nice england has out done itself unfortunately if no english weather this wont last x,20,113,20,4.7
aintnuthinneo hey mo,1,positive,3,6.666666666666667,4,train,aintnuthinneo hey mo,aintnuthinneo hey mo,3,20,3,6.0
crazygizmo fing funny film i watched the whole day wrestling cool too but now ive again a awful headache,0,negative,19,5.473684210526316,0,train,crazygizmo fing funny film i watched the whole day wrestling cool too but now ive again a awful headache,crazygizmo fing funny film i watched the whole day wrestling cool too but now ive again a awful headache,19,104,19,4.526315789473684
wish i was on south beach with you again just talking,0,negative,11,4.818181818181818,0,train,wish i was on south beach with you again just talking,wish i was on south beach with you again just talking,11,53,11,3.909090909090909
oh dear god i can not wait until the new apple iphone to be released im tired of going to the web to look pic msgs to my phone,0,negative,29,4.344827586206897,0,train,oh dear god i can not wait until the new apple iphone to be released im tired of going to the web to look pic msgs to my phone,oh dear god i can not wait until the new apple iphone to be released im tired of going to the web to look pic msgs to my phone,29,126,29,3.3793103448275863
flat bird at side of road looked like a falcon sadface,0,negative,11,4.909090909090909,0,train,flat bird at side of road looked like a falcon sadface,flat bird at side of road looked like a falcon sadface,11,54,11,4.0
streaming broadcasting live at,1,positive,4,7.5,4,train,streaming broadcasting live at,streaming broadcasting live at,4,30,4,6.75
street dreams premiere tomorrow i haveneed to be there ill see what i can do i guess but i dont think i can do much,0,negative,25,4.6,0,train,street dreams premiere tomorrow i haveneed to be there ill see what i can do i guess but i dont think i can do much,street dreams premiere tomorrow i haveneed to be there ill see what i can do i guess but i dont think i can do much,25,115,25,3.64
my puppy shih tzu max month,1,positive,6,4.5,4,train,my puppy shih tzu max month,my puppy shih tzu max month,6,27,6,3.6666666666666665
challenges its so cool,1,positive,4,5.5,4,train,challenges its so cool,challenges its so cool,4,22,4,4.75
ngwx i know the feeling becoming a teacher or a tattoo artist so many good ideas but which way do you go,0,negative,22,4.727272727272728,0,train,ngwx i know the feeling becoming a teacher or a tattoo artist so many good ideas but which way do you go,ngwx i know the feeling becoming a teacher or a tattoo artist so many good ideas but which way do you go,22,104,22,3.772727272727273
skydiverfsjets i was on a short blog hiatus because me and wifey just had a baby i posted the mixtape on my blog therealjustcom though,1,positive,25,5.36,4,train,skydiverfsjets i was on a short blog hiatus because me and wifey just had a baby i posted the mixtape on my blog therealjustcom though,skydiverfsjets i was on a short blog hiatus because me and wifey just had a baby i posted the mixtape on my blog therealjustcom though,25,134,25,4.4
im picking the best images from the last weddings for our portfolio really want a new website to put them on,0,negative,21,5.142857142857143,0,train,im picking the best images from the last weddings for our portfolio really want a new website to put them on,im picking the best images from the last weddings for our portfolio really want a new website to put them on,21,108,21,4.190476190476191
today is national running day go and enjoy a run,1,positive,10,4.8,4,train,today is national running day go and enjoy a run,today is national running day go and enjoy a run,10,48,10,3.9
want a new phone,0,negative,4,4.0,0,train,want a new phone,want a new phone,4,16,4,3.25
alizahausman seems they thought your life story more interesting than anything you had to say,1,positive,15,6.2,4,train,alizahausman seems they thought your life story more interesting than anything you had to say,alizahausman seems they thought your life story more interesting than anything you had to say,15,93,15,5.266666666666667
i think my poor laptop needs a restartits dragging,0,negative,9,5.555555555555555,0,train,i think my poor laptop needs a restartits dragging,i think my poor laptop needs a restartits dragging,9,50,9,4.666666666666667
lizzzieeee damn i have wet hair too so snap and i am in just some shorts xd,0,negative,17,4.411764705882353,0,train,lizzzieeee damn i have wet hair too so snap and i am in just some shorts xd,lizzzieeee damn i have wet hair too so snap and i am in just some shorts xd,17,75,17,3.4705882352941178
yay the sun is back today dinner with kate tonight yay someone i know butt bad news i just left by hotel without my room keyugh,0,negative,26,4.884615384615385,0,train,yay the sun is back today dinner with kate tonight yay someone i know butt bad news i just left by hotel without my room keyugh,yay the sun is back today dinner with kate tonight yay someone i know butt bad news i just left by hotel without my room keyugh,26,127,26,3.923076923076923
ue election campaign speaking the web language looks good,1,positive,9,6.333333333333333,4,train,ue election campaign speaking the web language looks good,ue election campaign speaking the web language looks good,9,57,9,5.444444444444445
mctello im honored thank you so much,1,positive,7,5.142857142857143,4,train,mctello im honored thank you so much,mctello im honored thank you so much,7,36,7,4.285714285714286
going to find a good book to read in the sun,1,positive,11,4.0,4,train,going to find a good book to read in the sun,going to find a good book to read in the sun,11,44,11,3.090909090909091
husny ill be ordering mcspicy add cheesefries without salt amp drink iced lemon tea,1,positive,14,5.928571428571429,4,train,husny ill be ordering mcspicy add cheesefries without salt amp drink iced lemon tea,husny ill be ordering mcspicy add cheesefries without salt amp drink iced lemon tea,14,83,14,5.0
keshiaford or u can get anova iphone,1,positive,7,5.142857142857143,4,train,keshiaford or u can get anova iphone,keshiaford or u can get anova iphone,7,36,7,4.285714285714286
iggigg sprinkles igg with lavender oil while making her nice mug of ovaltine,0,negative,13,5.846153846153846,0,train,iggigg sprinkles igg with lavender oil while making her nice mug of ovaltine,iggigg sprinkles igg with lavender oil while making her nice mug of ovaltine,13,76,13,4.923076923076923
cleaning and packing my stuff up i dont want to leave here tomorrow,0,negative,13,5.153846153846154,0,train,cleaning and packing my stuff up i dont want to leave here tomorrow,cleaning and packing my stuff up i dont want to leave here tomorrow,13,67,13,4.230769230769231
talialiaxoxo no i missed the episode,0,negative,6,6.0,0,train,talialiaxoxo no i missed the episode,talialiaxoxo no i missed the episode,6,36,6,5.166666666666667
petruchio send ray my best,1,positive,5,5.2,4,train,petruchio send ray my best,petruchio send ray my best,5,26,5,4.4
frog they are expensive and then leave with all the knowledge you have given them,1,positive,15,5.4,4,train,frog they are expensive and then leave with all the knowledge you have given them,frog they are expensive and then leave with all the knowledge you have given them,15,81,15,4.466666666666667
yummy gunna make me some noodles me goreng did i spell it right s anyone wanna help me with maths,1,positive,20,4.85,4,train,yummy gunna make me some noodles me goreng did i spell it right s anyone wanna help me with maths,yummy gunna make me some noodles me goreng did i spell it right s anyone wanna help me with maths,20,97,20,3.9
bkwrm sure thing,1,positive,3,5.333333333333333,4,train,bkwrm sure thing,bkwrm sure thing,3,16,3,4.666666666666667
leaving wifey now to return home,0,negative,6,5.333333333333333,0,train,leaving wifey now to return home,leaving wifey now to return home,6,32,6,4.5
getting lunch with francescaroman and grandma,1,positive,6,7.5,4,train,getting lunch with francescaroman and grandma,getting lunch with francescaroman and grandma,6,45,6,6.666666666666667
niley wooooooo new untouchable niley its really awesome niley it doesnt have any niley in it though,0,negative,17,5.823529411764706,0,train,niley wooooooo new untouchable niley its really awesome niley it doesnt have any niley in it though,niley wooooooo new untouchable niley its really awesome niley it doesnt have any niley in it though,17,99,17,4.882352941176471
nancybugeja im a huge fan a one woman propaganda machine,1,positive,10,5.6,4,train,nancybugeja im a huge fan a one woman propaganda machine,nancybugeja im a huge fan a one woman propaganda machine,10,56,10,4.7
justinschiess ahhh exciting,1,positive,3,9.0,4,train,justinschiess ahhh exciting,justinschiess ahhh exciting,3,27,3,8.333333333333334
i need to be in a better frame of mind just cant seem to find one,0,negative,16,4.0625,0,train,i need to be in a better frame of mind just cant seem to find one,i need to be in a better frame of mind just cant seem to find one,16,65,16,3.125
is sick sick sickvery sad face,0,negative,6,5.0,0,train,is sick sick sickvery sad face,is sick sick sickvery sad face,6,30,6,4.166666666666667
spent the whole morning outsidehad breakfast picked the garden played with the chicks did some sun worshippingi love sundays,1,positive,19,6.526315789473684,4,train,spent the whole morning outsidehad breakfast picked the garden played with the chicks did some sun worshippingi love sundays,spent the whole morning outsidehad breakfast picked the garden played with the chicks did some sun worshippingi love sundays,19,124,19,5.578947368421052
rckergirl wow thanks can u help me promote my new twitter account i need to gain more followers than following if its ok,1,positive,23,5.217391304347826,4,train,rckergirl wow thanks can u help me promote my new twitter account i need to gain more followers than following if its ok,rckergirl wow thanks can u help me promote my new twitter account i need to gain more followers than following if its ok,23,120,23,4.260869565217392
wanna see metro station at oslo hate that i can go,0,negative,11,4.545454545454546,0,train,wanna see metro station at oslo hate that i can go,wanna see metro station at oslo hate that i can go,11,50,11,3.6363636363636362
beaniebanks hehehehe that sounds like even more fun,1,positive,8,6.375,4,train,beaniebanks hehehehe that sounds like even more fun,beaniebanks hehehehe that sounds like even more fun,8,51,8,5.5
kakakatey thats cause ovie is the one man team and when they show pens highlights its the whole because we have more than superstar,1,positive,24,5.458333333333333,4,train,kakakatey thats cause ovie is the one man team and when they show pens highlights its the whole because we have more than superstar,kakakatey thats cause ovie is the one man team and when they show pens highlights its the whole because we have more than superstar,24,131,24,4.5
need to read another chapter and a half then take my online final but dont want to,0,negative,17,4.823529411764706,0,train,need to read another chapter and a half then take my online final but dont want to,need to read another chapter and a half then take my online final but dont want to,17,82,17,3.8823529411764706
just got back from starbucks with the bestie now its study time story of my life,0,negative,16,5.0,0,train,just got back from starbucks with the bestie now its study time story of my life,just got back from starbucks with the bestie now its study time story of my life,16,80,16,4.0625
i love miley cyrus and for some reason i cant stop eating today,1,positive,13,4.846153846153846,4,train,i love miley cyrus and for some reason i cant stop eating today,i love miley cyrus and for some reason i cant stop eating today,13,63,13,3.923076923076923
went to the blue october concert the th and it was amazing i miss it replay that day now im at the grand canyon yay,0,negative,25,4.6,0,train,went to the blue october concert the th and it was amazing i miss it replay that day now im at the grand canyon yay,went to the blue october concert the th and it was amazing i miss it replay that day now im at the grand canyon yay,25,115,25,3.64
candivandi the important thing us that your feelin good either way,1,positive,11,6.0,4,train,candivandi the important thing us that your feelin good either way,candivandi the important thing us that your feelin good either way,11,66,11,5.090909090909091
buddhist chantom mane padme humn by me click to listen,0,negative,10,5.4,0,train,buddhist chantom mane padme humn by me click to listen,buddhist chantom mane padme humn by me click to listen,10,54,10,4.5
kslovesbooks i would welcome more opportunities to miss him,0,negative,9,6.555555555555555,0,train,kslovesbooks i would welcome more opportunities to miss him,kslovesbooks i would welcome more opportunities to miss him,9,59,9,5.666666666666667
gossipgirl hi i made a new account cuz my other was not working,0,negative,13,4.846153846153846,0,train,gossipgirl hi i made a new account cuz my other was not working,gossipgirl hi i made a new account cuz my other was not working,13,63,13,3.923076923076923
xdirtyburdx now im sitting in living room watching tv lol gave up,1,positive,12,5.416666666666667,4,train,xdirtyburdx now im sitting in living room watching tv lol gave up,xdirtyburdx now im sitting in living room watching tv lol gave up,12,65,12,4.5
developing an application for mobile devices with jsfseam but wo richfacespocket ie seems to dumb,0,negative,15,6.466666666666667,0,train,developing an application for mobile devices with jsfseam but wo richfacespocket ie seems to dumb,developing an application for mobile devices with jsfseam but wo richfacespocket ie seems to dumb,15,97,15,5.533333333333333
problogger i use digg amp stumbleupon much less since using twitter i just prefer to share what im reading directly with my friends,1,positive,23,5.695652173913044,4,train,problogger i use digg amp stumbleupon much less since using twitter i just prefer to share what im reading directly with my friends,problogger i use digg amp stumbleupon much less since using twitter i just prefer to share what im reading directly with my friends,23,131,23,4.739130434782608
waking up to the ocean breeze is so refreshing happy monday,1,positive,11,5.363636363636363,4,train,waking up to the ocean breeze is so refreshing happy monday,waking up to the ocean breeze is so refreshing happy monday,11,59,11,4.454545454545454
wet sweat pants no bueno,0,negative,5,4.8,0,train,wet sweat pants no bueno,wet sweat pants no bueno,5,24,5,4.0
im shocked you guys i thought you were there for me votes,0,negative,12,4.75,0,train,im shocked you guys i thought you were there for me votes,im shocked you guys i thought you were there for me votes,12,57,12,3.8333333333333335
but all is well now nevertheless im watching britans got talentoh wait not anymore mum changed the channel oh wait she put it back on,0,negative,25,5.32,0,train,but all is well now nevertheless im watching britans got talentoh wait not anymore mum changed the channel oh wait she put it back on,but all is well now nevertheless im watching britans got talentoh wait not anymore mum changed the channel oh wait she put it back on,25,133,25,4.36
my throat burns so bad,0,negative,5,4.4,0,train,my throat burns so bad,my throat burns so bad,5,22,5,3.6
georgerowson im fine thank you just got back from the gym and now im gunna do some more of my assignment how bout u,1,positive,24,4.791666666666667,4,train,georgerowson im fine thank you just got back from the gym and now im gunna do some more of my assignment how bout u,georgerowson im fine thank you just got back from the gym and now im gunna do some more of my assignment how bout u,24,115,24,3.8333333333333335
idk why but i feel sooo sad,0,negative,7,3.857142857142857,0,train,idk why but i feel sooo sad,idk why but i feel sooo sad,7,27,7,3.0
yeah baby now thats what i call a fantastic morning sun cycle i feel alive wicked,1,positive,16,5.0625,4,train,yeah baby now thats what i call a fantastic morning sun cycle i feel alive wicked,yeah baby now thats what i call a fantastic morning sun cycle i feel alive wicked,16,81,16,4.125
has given up on her for now,0,negative,7,3.857142857142857,0,train,has given up on her for now,has given up on her for now,7,27,7,3.0
